Filename,NIter,Shrinktype,Shrinkage,PSNR,SSIM
1.png,2,NONE,25,55.2257,0.9988
1.png,2,NONE,50.0000,55.2257,0.9988
1.png,2,NONE,80.0000,55.2257,0.9988
1.png,2,HARD,25.0000,25.4629,0.8182
1.png,2,HARD,50.0000,25.4629,0.8182
1.png,2,HARD,80.0000,25.4629,0.8182
1.png,2,SOFT,25.0000,25.4629,0.8182
1.png,2,SOFT,50.0000,25.4629,0.8182
1.png,2,SOFT,80.0000,25.4629,0.8182
1.png,2,GARROT,25.0000,25.4629,0.8182
1.png,2,GARROT,50.0000,25.4629,0.8182
1.png,2,GARROT,80.0000,25.4629,0.8182
1.png,3,NONE,25.0000,55.2257,0.9988
1.png,3,NONE,50.0000,55.2257,0.9988
1.png,3,NONE,80.0000,55.2257,0.9988
1.png,3,HARD,25.0000,22.4649,0.6997
1.png,3,HARD,50.0000,22.4649,0.6997
1.png,3,HARD,80.0000,22.4649,0.6997
1.png,3,SOFT,25.0000,22.4649,0.6997
1.png,3,SOFT,50.0000,22.4649,0.6997
1.png,3,SOFT,80.0000,22.4649,0.6997
1.png,3,GARROT,25.0000,22.4649,0.6997
1.png,3,GARROT,50.0000,22.4649,0.6997
1.png,3,GARROT,80.0000,22.4649,0.6997
1.png,4,NONE,25.0000,55.2257,0.9988
1.png,4,NONE,50.0000,55.2257,0.9988
1.png,4,NONE,80.0000,55.2257,0.9988
1.png,4,HARD,25.0000,20.2769,0.6430
1.png,4,HARD,50.0000,20.2769,0.6430
1.png,4,HARD,80.0000,20.2769,0.6430
1.png,4,SOFT,25.0000,20.2769,0.6430
1.png,4,SOFT,50.0000,20.2769,0.6430
1.png,4,SOFT,80.0000,20.2769,0.6430
1.png,4,GARROT,25.0000,20.2769,0.6430
1.png,4,GARROT,50.0000,20.2769,0.6430
1.png,4,GARROT,80.0000,20.2769,0.6430
